,polarity,text
764,neutral,U tried calling me.what was the info u intended to pass through?
1429,negative,@JumiaKenya why are you guys ignoring my tweets???
106,positive,Thank you.
571,neutral,@JumiaKenya where is your office
1724,neutral,"Innjoo of course,"
1671,negative,Its OK looking forward for the refund
1510,negative,@JumiaKenya order number 304684986 taking too long
1146,positive,Thank you Cm am sorted.
46,neutral,@JumiaKenya pic.twitter.com/W17np2JIcu
1227,negative,I know where the location is... Not my first time to order. The problem is that the location is not listed on your website. pic.twitter.com/M0mK0zcFzw
884,negative,@JumiaKenya Your policy states that a refund should take place within a maximum of 14 days. What happened to mine? Order no. 309743686
3,neutral,@JumiaKenya hey can I use bonga points to buy a product?
109,negative,So what can I do next since this seems like not what I ordered for? Can I get another one of of different brand if a return is not possible?
1728,negative,"AND advise the status now,How long should I wait ???? 21days ran out !!"
1296,neutral,"@JumiaKenya pliz confirm my order 302756786, its still pending or call me"
446,neutral,okey thanks; been waiting fr a call. will collect it either monday or tomorrow
662,neutral,@JumiaKenya Why cant i get the option of paying on Delivery. Its not there as i check out
1237,negative,"@JumiaKenya Hi, I've just had an order canceled bc of your delivery service's incompetence. This is the second time. Won't be coming back."
1455,neutral,two different riders called one with iron box and another with blow dryer
866,neutral,Kindly check DM
117,negative,@JumiaKenya your lines are busy. I want to place an order.
73,negative,@JumiaKenya I placed an order last week and only opened up today to see its expiry date is June. What to do? A disappointed regular shopper.
1633,neutral,Which items
444,neutral,@JumiaKenya hello..A link I can follow to view and buy HP desk-jet printers from please?
52,neutral,@JumiaKenya Going to pick order no. 301236976 please confirm availability.
1132,neutral,@JumiaKenya hey Can I place an order today and be delivered tomorrow.
247,neutral,@JumiaKenya do you sell Apetamin syrup
753,negative,Waiting for your reply or call me because when I call u never pick .
679,negative,"@JumiaKenya pliz help me change this order #306411386 from gold to silver laptop CLR, i was to be called for confirmation still waiting"
785,negative,@JumiaKenya nimechoka kungoja pic.twitter.com/ySvY7xPDRh
1719,neutral,@JumiaKenya what happened to my order 307979286??
1078,neutral,Any feed back on the order as per inquiry yesterday??
549,negative,@JumiaKenya I contacted you a week ago about order #306362986 . You said I'll get the products by today. I still haven't gotten anything.
427,negative,"when i register with my e-mail it does not give me may forward, it only hangs with no further direction"
876,negative,I think the wrong order was cancelled. I ordered two other products that reflect as cancelled and the order I want to cancel is still there.
673,negative,here's the pending order... pic.twitter.com/IwCzpRI3Jg
1285,neutral,What do u mean you are purely an online store? I understand you business model but where in mombasa can I see o of your representatives?
1484,negative,You're number's not working i need to make an important order Don't paste your link here please Call 0727855347
863,positive,Received it thanks.
762,negative,@JumiaKenya Since I placed my order more than a week ago I haven't received any confirmation call.
1287,negative,@jumiakenya I placed an Order It Has Not Been Delivered & No Call & No Info For About 2weejs Now. What's wrong
1390,neutral,@JumiaKenya any feedback from my earlier query?
1491,negative,The fact that you have everything on the store. Even the unmentionables. pic.twitter.com/kTum3CulWp
877,negative,The item was cancelled on 25th July. What are you telling me...waiting cancellation?! In fact you NW responded to me here abt the same. Nkt
1696,neutral,CBDP-30682296-LZU
375,neutral,@JumiaKenya @jumia order no 302611986 is it ready because I am in msa if update me
1630,positive,Thanks have sorted it out
1148,neutral,Kindly confirm if the items are ready for collection tomorrow
518,negative,@jumiaKenya My order no is 308891886. You are taking long to deliver the product why! it is now 20 days .... since I ordered.
1581,negative,"@JumiaKenya Hello Jumia, am kindly asking to know the status of this order 307264286. It's now 10 days since the order was made."
1090,negative,My item has not been delivered and yet you have said it is delivered to me and u have written for me to comment n haven't received it????
130,negative,Ooh so who's fault is it that a one month old iPhone suddenly died? Why should I pay you for selling me a reject?
573,neutral,Please call the owner
1655,negative,That is what I am saying I did not receive
1248,neutral,"@JumiaKenya I give up. Order 309857366. I request a cancelation, provided I will still be able to use the voucher I had previously used."
607,negative,its almost 1hour since when i talked with the lady she hasn't gotten to direct me as agreed
546,negative,@JumiaKenya I ordered an item last week and till now not yet received order no #304986386. Kind regards.
281,neutral,@JumiaKenya can i use my drivinh licence to collect my parcel..
570,neutral,Huku ni wapi please elaborate further?
1441,negative,"@JumiaKenya I made this order 305242686, paid for it and more than a week now I have never been informed about it"
337,negative,"@JumiaKenya call me please, i have a problem with my order. 309393476"
610,neutral,@JumiaKenya hi bought a phone from u how do i get the free bundles?i received like 350
969,negative,@JumiaKenya can someone please give me a call. Its pointless to follow the prompts on the phone just to be kept waiting and then hung up on.
925,neutral,@JumiaKenya Please check on the status of order number 301131586 .
1340,negative,"I placed an order last wk,ua guys say it's bn delivered bt I've bn 2 ua KSM pick-up station twice & told it's yet 2 be received."
82,neutral,@JumiaKenya how much do you charge for delivery to Kitale town?
1689,neutral,@JumiaKenya .hi the order number was 306248766....
1729,neutral,"Hallo Jumia, I had paid upfront for this stuff and by bad luck, I have deleted the txt msg for iPAY. I hope on delivery day no problem."
501,positive,"Hello, thank you but it has all been sorted out! Thx"
890,negative,@JumiaKenya hello I cant get option of pay on delivery
393,positive,Issue being looked into ^Jamo
771,neutral,@JumiaKenya confirm me what is already in Eldoret in the order number 303833186?
353,negative,"@JumiaKenya Hi,would like to return a bluetooth speaker that was delivered in faulty condition. Order no. 302794186"
1018,negative,@JumiaKenya If that's true then why am i still receiving mail from you guys? pic.twitter.com/VMHtHBV1gd
1742,negative,@JumiaKenya cancel order 304275286 for me. Your delivery sucks nowadays. It's being shipped frm Thursday.. or they are using a wheelbarrow..
1498,neutral,"Yeah, I purchased it from your store. Kindly can I be able to get the spare accessories?"
1213,neutral,@JumiaKenya confirm order number 308614586
1050,negative,can you cancel my order coz this aint fair at all ....
1643,neutral,@JumiaKenya @AIRTEL_KE how do i claim the Alcatel pixie mbs i bought from jumia?
1178,neutral,@JumiaKenya Good Morning. Check DM
1153,neutral,@JumiaKenya do you guys have any blackberry phone in stock??
1301,negative,"@JumiaKenya 3PL-302975486-7FQ delivered, but on checking there is nothing inside. Come collect your empty parcel and refund my money."
645,negative,But you didn't indicate this during the time I was placing the order
1449,neutral,why cancel? can't it be replaced?
1379,neutral,alcatel pixis worth 1599 and I want delivered at posta city square
1249,negative,"@JumiaKenya I made an order more than three weeks ago,Im yet to b informed whether the product is arrived."
1312,negative,Order 307813686. The thing is broken and it doesn't help it if I change the batteries with fresh ones.
13,negative,hello i order item 306981386 on 16th of this month and until today haven't received it. what up??
805,negative,I was ....told that the package was to be delivered today ..so what the hell ??plus this election stuff I want it tomorrow Saturday
719,neutral,"NANYUKI, LAIKIPIA EAST."
836,neutral,"following our conversation, here's the order #303624386"
314,negative,"Same error with Mozilla, had earlier tried with Chrome"
387,neutral,@JumiaKenya when is the JForce coming
585,neutral,"@jumiakenya hyo order yangu kumeenda aje, any updates so far, kindly"
112,negative,"Ooh, and kindly advice those concerned to pull down ads of items that are confirmed not to be in the stores"
1639,neutral,See you soon
526,neutral,Kindly advise
1317,neutral,I'd like a posta pick up. Nyahururu town. whats the procedure?
430,positive,Thank you.
1077,negative,"@JumiaKenya @miconeTV why does it take long for you to deliver your service,your services delivery is becoming poor...one week no delivery"
1503,negative,Your flash sales are shitty as hell. Reducing an item's price by 500 shillings then charging 600 shillings for shipping.
991,neutral,@JumiaKenya hi this order number has been cancelled 303172886 what could be problem ?
1462,negative,just cancel it
1303,neutral,Uko wapi
564,positive,@JumiaKenya I salute http:// Ms.Gift for the awesome customer care service. She's the best. She solved my issue fastest. Thank you
175,positive,OK..it has been delivered..thank you
795,negative,That's not fair u r not picking my call. After yesterday pple r back to work u guys r still letting us down plz call me or reply 302611986
565,negative,"I would like to confirm that I was sent a refund voucher. But I want money, I don't want a refund voucher. You can mpesa."
1226,neutral,package ADA-309788886-K2W order 309788886.
466,neutral,"Oops too bad! Kindly alert me if you bring stock. My specification is a White one, made of Faux Leather. Thanks!"
1557,neutral,Thank you
1543,neutral,@JumiaKenya please note order 305975882 a phone i bght in sept 2016 has n't been wrking for a week plz advis since its within the warrnty
963,neutral,My boss caspar
1583,neutral,alright today I will buy a bundle
1151,neutral,305578486
334,neutral,here 303594276
983,negative,@JumiaKenya if y'all r going to cancel an order u cancel the entire of it nd refund my cash entirely not half nkt pic.twitter.com/BPfHtyd4jI
1645,negative,@JumiaKenya I would like to cancel an order No 302165986 kindly
1377,negative,Why aren't you responding to my question?
94,neutral,will they exchange it for me or what is the use of going there??
1807,negative,@JumiaKenya My cousin ordered for two phones from Jumia but two months down the line they have never bn delivered. Y? Cc @KenMayienga
228,negative,The item was returned but refund has never bn issued.. its bn more than the time that was stipulated..
1400,negative,"On 26th July i got my order, inakuja bila USB cable ????? Thanks for the life bouy soap."
191,neutral,"USB-C,Phone Battery,Phone Cover all locally available delivery in Nairobi opposite General Motors off Mombasa Road. Or have terms changed."
1116,negative,@JumiaKenya hi.I've tried calling the no. you used to call me but the response is that it's out of service
24,negative,this phone doesnt have a screenshot option...
1055,neutral,"@JumiaKenya how so I reach your customer care? I paid 11,070 kshs instead od 1,070 kshs for an order."
342,neutral,I have not picked an order. Why I'm I receiving text? Is there possibility that someone else just picked?
567,neutral,What was the result from quality assessment ?
1590,neutral,"@JumiaKenya hi, i want to buy a samsung j7 prime and wish to come to your place in person for the purchase. is that ok ?"
355,neutral,"@JumiaKenya is it possible to get X-TIGI MC10 - Solar Home Lighting System - Black,i want 1 unit."
988,neutral,"@JumiaKenya hello, are you open tommorrow? Date 7th august monday..."
1095,negative,@JumiaKenya mnamake deliveries Canaan ama tujipange
1613,neutral,No worries
707,negative,@JumiaKenya i made an order and paid via ipay last week till date no confirmation call nor delivery call has been made. What is the problem?
104,neutral,@JumiaKenya Please follow me so that I DM.
1172,neutral,Order ID: 305632586
1123,neutral,@JumiaKenya do you sell wireless desktop phones?
1185,negative,@JumiaKenya two products to return from one customer in two weeks doesn't look very good. No? Infinix phone neither reads nor composes SMS.
994,negative,"The edges are not silver in colour as shown in the images, OS is not Ubuntu, and it does not have a 10/100 RJ-45 Ethernet network port ."
224,negative,@JumiaKenya kindly check my dm
1247,neutral,@JumiaKenya hey small shoe received how do u Help about that return ?
1552,neutral,@JumiaKenya There's only one pickup station in the drop-down list and its in Meru.... pic.twitter.com/d1wc2Dbjam
1433,negative,"When I placed the order, your site gave a timeline of 1-4 working days. Why is this order taking longer?"
356,negative,i have the same phone X Gigi v 10 ..and am having lots of problem using it Like its hanging a lot the music player has a problem
1631,neutral,@JumiaKenya how do i cancel an order please??
1219,neutral,The black shoe is smaller needed same size as the brown one pic.twitter.com/vDayaYsbXJ
1236,neutral,@JumiaKenya Hey...308694786. Kindly deliver this today without fail
590,neutral,308736386
1672,negative,"@JumiaKenya .....on 0740533480,asking the direction to my place so as to deliver the item.Why have you changed your mind so suddenly ?!!"
714,neutral,Thanks
59,positive,Thank you
1469,negative,Can I Cancel it?
1492,neutral,Thanks. will wait for the same.
492,neutral,"Sawa tell me, where is order 301666586? It's more than 15 days now, I should be hearing word about the delivery already"
772,neutral,@JumiaKenya plz delivery my fon 2moro (order 302611986 ) same address I need my fon back please for more details call. Don't let me down plz
1362,neutral,302564486
66,negative,"Hi Team kindly cancel, i required it urgently and have bought it elsewhere, thanks"
1636,negative,"It's Ramco microwave. The start"" button is not working, consequently the heating glass is not rotating, nothing is warming or cooking."""
1475,neutral,@JumiaKenya 303722886 whats going on with this order?
121,negative,Can I get help please the call center has no options for to interact with humans!!!!??????
1298,neutral,@JumiaKenya i order for tv on saturday how long should i wait here is the order number 304164786
572,negative,"theres no error message, it just doesnt open. Just the kathibg that goes round showung it is loading..."
1597,neutral,payments why?
1138,negative,"@JumiaKenya hi.the Generic USB data cable you delivered is not functional,so frustrating,how do return this?"
325,positive,"Thank you Jumia ,this the phone I ordered."
1353,neutral,can i use twitter to place an order
1638,neutral,So how much longer will I have to wait?
1805,neutral,i was given a ticket number... T2174
1315,neutral,the ones available are far away from nyahururu town where i stay. theres a post office here in town. can the goods be brought here?
1065,negative,@JumiaKenya Hi it's now 6 business days since I ordered...still haven't received the package MAD-307311986-W3I.
1637,neutral,and how long will that take
967,neutral,@JumiaKenya pic.twitter.com/p54U9Hfc1R
327,negative,The memory card is corrupt. Doesn't store files
1565,negative,I am yet to receive the email half an hour later
623,negative,"morning, still no word on my order that you mentioned was in its final stages...order no. 306712796"
1371,neutral,@JumiaKenya do you have FERO covers?
1512,negative,"It's okay, but now it has forced me to look into other alternatives before you bring me one."
1263,negative,@JumiaKenya you guys have cancelled my order but haven't refunded me my money 4ne number is 0703743321 .... Assist me please
1710,neutral,Any time;even at midnight
807,neutral,@JumiaKenya hello do you have batteries for injoo Fire2 3G and at how much?
291,negative,@JumiaKenya when did this increase happen? I've saved up with the previous price in mind only to be disappointed upon visiting the site! pic.twitter.com/pyoMeAylet
272,neutral,"I said so because i have ordered items worth over ksh. 80,000 from my history. To be awarded from the competitions is no sureity ."
1471,negative,"@JumiaKenya this was on your website a few days ago, but it's no more! What happened? pic.twitter.com/m6niVAbzRr"
1769,positive,Asanti jumia
392,negative,i am now following DM me
97,negative,@JumiaKenya i need to buy HOT 4LITE now!!
941,negative,@JumiaKenya hello.i recently bought Tecno camon C7 from you.two months down the line it have developed Bluetooth malfunction.plz help
1031,,
529,neutral,308652752 pic.twitter.com/fZuIrMLE9V
930,neutral,Paying once you receive your ordered goods
934,neutral,Paying for goods after you have them on your hands
955,neutral,Dan jumia & I
531,negative,"You frustrate me then i wait for another 2 days, gaatho ! Am done."
